You entered a buffer length of 20
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
0.066227, -0.028505, 0.918574, 0.118977, -0.120643, 1.015541, 0.111884, 0.007020, 1.005860, 0.111884, -0.211378, 1.005860
0.111152, 0.061832, 1.001953, 0.122279, -0.127284, 1.018678, 0.132271, 0.007020, 0.981322, 0.132271, -0.161326, 0.981322
0.060612, 0.109687, 1.035891, 0.123427, -0.141561, 1.017988, 0.134102, 0.007020, 0.988158, 0.134102, -0.223707, 0.988158
0.061222, -0.072209, 0.946896, 0.126491, -0.157102, 1.020961, 0.121895, 0.007020, 1.095343, 0.121895, -0.201123, 1.095343
0.059025, 0.007020, 1.032228, 0.128578, -0.166557, 1.029183, 0.102973, 0.007020, 1.111335, 0.102973, -0.261307, 1.111335
0.118354, -0.061222, 1.032961, 0.129811, -0.179772, 1.034927, 0.083684, 0.007020, 1.147104, 0.083684, -0.257279, 1.147104
0.153269, -0.114814, 1.038699, 0.130190, -0.182244, 1.033565, 0.125923, 0.007020, 1.005738, 0.125923, -0.110663, 1.005738
0.095648, -0.171702, 1.011842, 0.127443, -0.183843, 1.033144, 0.098334, 0.007020, 1.030275, 0.098334, -0.146798, 1.030275
0.143502, -0.090521, 1.024538, 0.128633, -0.182421, 1.034664, 0.119453, 0.007020, 1.042239, 0.119453, -0.143258, 1.042239
0.153513, -0.074528, 1.046268, 0.127986, -0.180040, 1.033584, 0.130562, 0.007020, 1.002930, 0.130562, -0.042910, 1.002930
0.099676, -0.056461, 0.967039, 0.123195, -0.175536, 1.033071, 0.057682, 0.015565, 1.036013, 0.057682, 0.015565, 1.036013
0.082586, -0.120674, 1.035891, 0.120894, -0.167576, 1.038485, 0.053653, 0.102728, 1.075322, 0.053653, 0.102728, 1.075322
0.149728, -0.285357, 1.078862, 0.118483, -0.167448, 1.037301, 0.034365, 0.102728, 1.012208, 0.034365, -0.118110, 1.012208
0.174022, -0.203076, 1.016358, 0.112537, -0.154556, 1.032131, 0.030825, 0.102728, 0.975462, 0.030825, -0.027529, 0.975462
0.158762, -0.173167, 1.026003, 0.105591, -0.139944, 1.031270, 0.035097, 0.089178, 0.999146, 0.035097, 0.089178, 0.999146
0.151071, -0.241287, 0.985473, 0.098346, -0.118556, 1.031624, 0.013856, 0.254593, 1.033083, 0.013856, 0.254593, 1.033083
0.159373, -0.274248, 1.047976, 0.092187, -0.091729, 1.035744, 0.027895, 0.295245, 1.067875, 0.027895, 0.295245, 1.067875
0.136910, -0.182689, 1.028200, 0.085900, -0.063316, 1.032534, 0.033632, 0.294024, 0.983764, 0.033632, 0.294024, 0.983764
0.133004, -0.229567, 1.029299, 0.085192, -0.034511, 1.021339, 0.122749, 0.393396, 0.804309, 0.122749, 0.393396, 0.804309
0.111884, -0.211378, 1.005860, 0.078917, -0.004157, 1.018074, 0.007508, 0.377525, 0.963987, 0.007508, 0.377525, 0.963987
0.132271, -0.161326, 0.981322, 0.069725, 0.019923, 1.011195, 0.007508, 0.270219, 0.868278, -0.071965, 0.270219, 0.868278
0.134102, -0.223707, 0.988158, 0.059641, 0.050656, 1.001807, 0.007508, 0.453336, 0.793566, -0.069401, 0.453336, 0.793566
0.121895, -0.201123, 1.095343, 0.050833, 0.090069, 0.987963, 0.007508, 0.564549, 0.711286, -0.042056, 0.564549, 0.711286
0.102973, -0.261307, 1.111335, 0.046029, 0.132454, 0.970945, 0.025819, 0.646585, 0.754990, 0.025819, 0.646585, 0.754990
0.083684, -0.257279, 1.147104, 0.041183, 0.183892, 0.954581, 0.006043, 0.767442, 0.784044, 0.006043, 0.767442, 0.784044
0.125923, -0.110663, 1.005738, 0.045132, 0.237801, 0.925856, 0.162669, 0.820912, 0.572606, 0.162669, 0.820912, 0.572606
0.098334, -0.146798, 1.030275, 0.037893, 0.282854, 0.908020, 0.162669, 0.790393, 0.649026, -0.018861, 0.790393, 0.649026
0.119453, -0.143258, 1.042239, 0.030196, 0.324770, 0.891528, 0.162669, 0.691509, 0.700421, -0.055606, 0.691509, 0.700421
0.130562, -0.042910, 1.002930, 0.021150, 0.368370, 0.874693, 0.162669, 0.728743, 0.705548, -0.061466, 0.728743, 0.705548
0.057682, 0.015565, 1.036013, 0.012025, 0.410108, 0.861234, 0.162669, 0.791857, 0.733748, -0.051944, 0.791857, 0.733748
0.053653, 0.102728, 1.075322, 0.007142, 0.451163, 0.841543, 0.162669, 0.836660, 0.642190, -0.039980, 0.836660, 0.642190
0.034365, -0.118110, 1.012208, 0.003113, 0.487249, 0.812110, 0.162669, 0.824452, 0.486663, -0.026918, 0.824452, 0.486663
0.030825, -0.027529, 0.975462, 0.000220, 0.539358, 0.782048, 0.162669, 0.924068, 0.410975, -0.023500, 0.924068, 0.410975
0.035097, 0.089178, 0.999146, -0.003516, 0.586498, 0.755832, 0.162669, 0.915278, 0.451138, -0.043887, 0.915278, 0.451138
0.013856, 0.254593, 1.033083, -0.007819, 0.628609, 0.728627, 0.162669, 0.931392, 0.455045, -0.050967, 0.931392, 0.455045
0.027895, 0.295245, 1.067875, -0.008881, 0.660654, 0.698834, 0.162669, 0.895501, 0.437222, -0.007386, 0.895501, 0.437222
0.033632, 0.294024, 0.983764, -0.005335, 0.684826, 0.654483, 0.098822, 0.778673, 0.180858, 0.098822, 0.778673, 0.180858
0.122749, 0.393396, 0.804309, -0.006342, 0.718647, 0.616584, 0.013490, 0.970457, 0.225783, 0.013490, 0.970457, 0.225783
0.007508, 0.377525, 0.963987, -0.009662, 0.747586, 0.587212, 0.056339, 0.972166, 0.216871, 0.056339, 0.972166, 0.216871
-0.071965, 0.270219, 0.868278, -0.010926, 0.777757, 0.551633, 0.056339, 0.980956, 0.252396, -0.017762, 0.980956, 0.252396
-0.069401, 0.453336, 0.793566, -0.008857, 0.816816, 0.516944, 0.056339, 1.051395, 0.174510, -0.030580, 1.051395, 0.174510
-0.042056, 0.564549, 0.711286, -0.004419, 0.842111, 0.478728, 0.019349, 0.959226, 0.029238, 0.019349, 0.959226, 0.029238
0.025819, 0.646585, 0.754990, -0.002374, 0.860532, 0.440713, 0.019349, 0.932979, 0.029238, -0.001160, 0.932979, -0.049014
0.006043, 0.767442, 0.784044, -0.000238, 0.875835, 0.396997, 0.068547, 0.952634, 0.029238, 0.068547, 0.952634, -0.119331
0.162669, 0.820912, 0.572606, -0.001306, 0.887591, 0.353055, 0.068547, 1.002564, 0.029238, -0.015321, 1.002564, -0.094793
-0.018861, 0.790393, 0.649026, -0.005438, 0.893542, 0.317286, 0.080022, 0.939938, 0.029238, 0.080022, 0.939938, -0.142770
