You entered a buffer length of 100
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
-0.073430, 0.117500, 1.207654, -0.037281, 0.533835, -0.074277, 0.002136, 0.008362, 0.000793, -0.102118, -0.020448, -0.984862
-0.123726, -0.123360, 0.960813, -0.037512, 0.532664, -0.096111, 0.002136, 0.000427, 0.000793, -0.096502, 0.000427, -0.975707
-0.143014, -0.000305, 1.065312, -0.037214, 0.533862, -0.115400, 0.002136, 0.000427, 0.000793, -0.093939, -0.003601, -0.968138
-0.138619, 0.085515, 1.111823, -0.036686, 0.533549, -0.135699, 0.002136, 0.000427, 0.000793, -0.090154, -0.031557, -0.964597
-0.124947, 0.160349, 1.182873, -0.036229, 0.532192, -0.156553, 0.002136, 0.000427, 0.000793, -0.092962, -0.050235, -0.973509
-0.122505, 0.340292, 1.349631, -0.035616, 0.530082, -0.178302, 0.002136, 0.000427, 0.000793, -0.063664, -0.050601, -0.992065
-0.147531, 0.365562, 1.309955, -0.034498, 0.526363, -0.201935, 0.002136, 0.000427, 0.000793, -0.010682, -0.031679, -1.013673
-0.154856, 0.319905, 1.222059, -0.033881, 0.522704, -0.225495, 0.002136, 0.000427, 0.000793, -0.085882, -0.000305, -1.046023
-0.173167, 0.063542, 0.909662, -0.033165, 0.520112, -0.247155, 0.002136, 0.060734, 0.000793, -0.083196, 0.060734, -0.943966
-0.136666, 0.015077, 0.866813, -0.032159, 0.520604, -0.265054, 0.002136, 0.112739, 0.000793, -0.072575, 0.112739, -0.880242
-0.096747, 0.327718, 1.050052, -0.031187, 0.521113, -0.282919, 0.002136, 0.065983, 0.000793, -0.039492, 0.065983, -0.919673
-0.129830, 0.284502, 0.962766, -0.030408, 0.518414, -0.303358, 0.002136, 0.057804, 0.000793, -0.018861, 0.057804, -0.993896
-0.154245, 0.252518, 0.845816, -0.029271, 0.516927, -0.323408, 0.002136, 0.135812, 0.000793, -0.016053, 0.135812, -1.042239
-0.148263, 0.362998, 0.831777, -0.028232, 0.515765, -0.342053, 0.002136, 0.136300, 0.000793, -0.050357, 0.136300, -1.018678
-0.117622, 0.465421, 0.871330, -0.027144, 0.513497, -0.360228, 0.002136, 0.136178, 0.000793, -0.039492, 0.136178, -0.985717
-0.114204, 0.507050, 0.790148, -0.025981, 0.510419, -0.378885, 0.002136, 0.157663, 0.000793, -0.001282, 0.157663, -0.994384
-0.110541, 0.567234, 0.686749, -0.024749, 0.506784, -0.396329, 0.008973, 0.143502, 0.000793, 0.008973, 0.143502, -0.954221
-0.111518, 0.543673, 0.674907, -0.023817, 0.502661, -0.412701, 0.008973, 0.154978, 0.000793, -0.017396, 0.154978, -0.950436
-0.070378, 0.626442, 0.687603, -0.023100, 0.499779, -0.429064, 0.008973, 0.255448, 0.000793, -0.039736, 0.255448, -0.961423
-0.044742, 0.718245, 0.688824, -0.023113, 0.495125, -0.446662, 0.008973, 0.161082, 0.000793, -0.071721, 0.161082, -1.072148
-0.033388, 0.787341, 0.697980, -0.023117, 0.489581, -0.463655, 0.008973, 0.163767, 0.000793, -0.045108, 0.163767, -1.010499
-0.036806, 0.812733, 0.687603, -0.022846, 0.483634, -0.480302, 0.008973, 0.192700, 0.000793, -0.006287, 0.192700, -0.966673
-0.064152, 0.602026, 0.507294, -0.022097, 0.478613, -0.495715, 0.038027, 0.310627, 0.000793, 0.038027, 0.310627, -0.853751
-0.104804, 0.689678, 0.450894, -0.021487, 0.476946, -0.508835, 0.038027, 0.435268, 0.000793, -0.003113, 0.435268, -0.804676
-0.057071, 0.783922, 0.554294, -0.020571, 0.475665, -0.520734, 0.038027, 0.561619, 0.000793, -0.013245, 0.561619, -0.738998
-0.041445, 0.843374, 0.570042, -0.020372, 0.473896, -0.533527, 0.038027, 0.607032, 0.000793, -0.037173, 0.607032, -0.725081
-0.073918, 0.963255, 0.682720, -0.020309, 0.471864, -0.546153, 0.038027, 0.640115, 0.000793, -0.035097, 0.640115, -0.692486
-0.079045, 0.926753, 0.523164, -0.019849, 0.469349, -0.559686, 0.038027, 0.711774, 0.000793, -0.027895, 0.711774, -0.670634
-0.039126, 0.759263, 0.361777, -0.019716, 0.467292, -0.571707, 0.038027, 0.721052, 0.000793, -0.065739, 0.721052, -0.678935
-0.017762, 0.687481, 0.267900, -0.018895, 0.467045, -0.581956, 0.042910, 0.734603, 0.000793, 0.042910, 0.734603, -0.663065
-0.001160, 0.686993, 0.221998, -0.018678, 0.467164, -0.591744, 0.003968, 0.699322, 0.000793, 0.003968, 0.699322, -0.710920
-0.005677, 0.907221, 0.403650, -0.018230, 0.467073, -0.600896, 0.043643, 0.677959, 0.000793, 0.043643, 0.677959, -0.693219
0.008729, 0.998169, 0.425624, -0.017569, 0.464672, -0.611893, 0.060367, 0.667094, 0.000793, 0.060367, 0.667094, -0.696026
-0.032290, 1.032595, 0.420619, -0.017095, 0.461922, -0.623358, 0.056217, 0.723128, 0.000793, 0.056217, 0.723128, -0.720930
-0.041323, 1.001953, 0.465421, -0.016296, 0.458525, -0.633839, 0.047549, 0.692974, 0.000793, 0.047549, 0.692974, -0.627419
0.200024, 0.884514, 0.327352, -0.015155, 0.455748, -0.644699, 0.072819, 0.724226, 0.000793, 0.072819, 0.724226, -0.620582
0.242263, 0.786120, 0.242019, -0.016719, 0.455106, -0.653797, 0.043643, 0.820302, 0.000793, 0.043643, 0.820302, -0.582494
0.194287, 0.760728, 0.197339, -0.019010, 0.456450, -0.661704, 0.013123, 0.920527, 0.000793, 0.013123, 0.920527, -0.548679
0.110908, 0.848746, 0.167308, -0.020780, 0.457571, -0.669140, 0.017274, 0.872795, 0.000793, 0.017274, 0.872795, -0.546237
0.104560, 0.924922, 0.178661, -0.021871, 0.457474, -0.676433, 0.001770, 0.839102, 0.000793, 0.001770, 0.839102, -0.561985
0.087591, 1.034914, 0.191967, -0.023329, 0.456991, -0.683393, 0.001770, 0.876579, 0.000793, -0.041201, 0.876579, -0.517305
0.082097, 1.010499, 0.143380, -0.024606, 0.455333, -0.690736, 0.001770, 0.869133, 0.000793, -0.040103, 0.869133, -0.542331
-0.036929, 1.027956, 0.068547, -0.025856, 0.453766, -0.696859, 0.001770, 0.853751, 0.000793, -0.042910, 0.853751, -0.468962
-0.077214, 1.040408, 0.000793, -0.024726, 0.451131, -0.701759, 0.076115, 0.764512, 0.000793, 0.076115, 0.764512, -0.421474
-0.155954, 1.002442, -0.079900, -0.024358, 0.449001, -0.705104, 0.076115, 0.827382, 0.000793, -0.040469, 0.827382, -0.333700
-0.212721, 0.990966, -0.099310, -0.023513, 0.447699, -0.706630, 0.076115, 0.872307, 0.000793, -0.071477, 0.872307, -0.232497
0.055606, 0.946652, -0.025942, -0.021146, 0.447277, -0.706973, 0.023988, 0.948727, 0.000793, 0.023988, 0.948727, -0.133614
0.081731, 0.829702, -0.041079, -0.021182, 0.447613, -0.707603, 0.052066, 0.980223, 0.000793, 0.052066, 0.980223, -0.088934
-0.002258, 0.915766, -0.085393, -0.021669, 0.449590, -0.707586, 0.033022, 1.027467, 0.000793, 0.033022, 1.027467, -0.039370
-0.008362, 0.891961, -0.139718, -0.021747, 0.450360, -0.706445, 0.033022, 0.992675, 0.028749, -0.010071, 0.992675, 0.028749
-0.018129, 0.909662, -0.157419, -0.021196, 0.452216, -0.704313, 0.046695, 1.077641, 0.073430, 0.046695, 1.077641, 0.073430
-0.074406, 0.992675, -0.151193, -0.020635, 0.453857, -0.701538, 0.038027, 1.073735, 0.120063, 0.038027, 1.073735, 0.120063
-0.129463, 1.083867, -0.096380, -0.019993, 0.454669, -0.698914, 0.038027, 1.073857, 0.111274, -0.010193, 1.073857, 0.111274
-0.132027, 1.068486, -0.082341, -0.018833, 0.454333, -0.697059, 0.038027, 1.050296, 0.089056, -0.013490, 1.050296, 0.089056
-0.070378, 1.055179, -0.100531, -0.017406, 0.453142, -0.695315, 0.010682, 0.949338, 0.092108, 0.010682, 0.949338, 0.092108
0.010560, 1.037966, -0.120796, -0.016590, 0.451723, -0.693595, 0.011170, 0.913325, 0.071477, 0.011170, 0.913325, 0.071477
-0.002380, 1.000977, -0.173900, -0.016629, 0.449644, -0.691057, 0.006653, 0.830068, 0.133004, 0.006653, 0.830068, 0.133004
